 ID,PARAM,Date,Flow,SYM
08LB047,1,1960/05/18,217,
08LB047,1,1960/05/19,208,
08LB047,1,1960/05/20,221,
08LB047,1,1960/05/21,231,
08LB047,1,1960/05/22,209,
08LB047,1,1960/05/23,189,
08LB047,1,1960/05/24,174,
08LB047,1,1960/05/25,165,
08LB047,1,1960/05/26,165,
08LB047,1,1960/05/27,194,
08LB047,1,1960/05/28,200,
08LB047,1,1960/05/29,194,
08LB047,1,1960/05/30,202,
08LB047,1,1960/05/31,177,
08LB047,1,1960/06/01,331,
08LB047,1,1960/06/02,391,
08LB047,1,1960/06/03,544,
08LB047,1,1960/06/04,532,E
08LB047,1,1960/06/05,368,E
08LB047,1,1960/06/06,311,E
08LB047,1,1960/06/07,323,E
08LB047,1,1960/06/08,331,E
08LB047,1,1960/06/09,300,
08LB047,1,1960/06/10,354,
08LB047,1,1960/06/11,396,
08LB047,1,1960/06/12,513,
08LB047,1,1960/06/13,524,
08LB047,1,1960/06/14,561,
08LB047,1,1960/06/15,501,
08LB047,1,1960/06/16,538,
08LB047,1,1960/06/17,566,
08LB047,1,1960/06/18,433,
08LB047,1,1960/06/19,362,
08LB047,1,1960/06/20,445,
08LB047,1,1960/06/21,320,
08LB047,1,1960/06/22,326,
08LB047,1,1960/06/23,399,
08LB047,1,1960/06/24,501,
08LB047,1,1960/06/25,637,
08LB047,1,1960/06/26,623,
08LB047,1,1960/06/27,586,
08LB047,1,1960/06/28,592,
08LB047,1,1960/06/29,651,
08LB047,1,1960/06/30,680,
08LB047,1,1960/07/01,702,
08LB047,1,1960/07/02,750,
08LB047,1,1960/07/03,646,
08LB047,1,1960/07/04,555,
08LB047,1,1960/07/05,538,
08LB047,1,1960/07/06,538,
08LB047,1,1960/07/07,617,
08LB047,1,1960/07/08,665,
08LB047,1,1960/07/09,623,
08LB047,1,1960/07/10,470,
08LB047,1,1960/07/11,394,
08LB047,1,1960/07/12,394,
08LB047,1,1960/07/13,473,
08LB047,1,1960/07/14,518,
08LB047,1,1960/07/15,580,
08LB047,1,1960/07/16,561,
08LB047,1,1960/07/17,532,
